Subject, Start Date, End Date, All Day Event, Start Time, End Time, Location
A1, 9/8/2017, 9/8/2017, True,,,
A1, 6/9/2017, 6/9/2017, True,,,
A1, 22/9/2017, 22/9/2017, True,,,
A1, 13/10/2017, 13/10/2017, True,,,
A1, 16/11/2017, 16/11/2017, True,,,
A1, 5/12/2017, 5/12/2017, True,,,
A1, 8/1/2018, 8/1/2018, True,,,
A1, 24/1/2018, 24/1/2018, True,,,
A1, 9/2/2018, 9/2/2018, True,,,
A1, 14/3/2018, 14/3/2018, True,,,
A1, 9/4/2018, 9/4/2018, True,,,
A1, 25/4/2018, 25/4/2018, True,,,
A1, 30/5/2018, 30/5/2018, True,,,
A1, 15/6/2018, 15/6/2018, True,,,
B1, 22/8/2017, 22/8/2017, True,,,
B1, 7/9/2017, 7/9/2017, True,,,
B1, 25/9/2017, 25/9/2017, True,,,
B1, 30/10/2017, 30/10/2017, True,,,
B1, 17/11/2017, 17/11/2017, True,,,
B1, 6/12/2017, 6/12/2017, True,,,
B1, 9/1/2018, 9/1/2018, True,,,
B1, 25/1/2018, 25/1/2018, True,,,
B1, 12/2/2018, 12/2/2018, True,,,
B1, 15/3/2018, 15/3/2018, True,,,
B1, 10/4/2018, 10/4/2018, True,,,
B1, 26/4/2018, 26/4/2018, True,,,
B1, 31/5/2018, 31/5/2018, True,,,
A2, 23/8/2017, 23/8/2017, True,,,
A2, 8/9/2017, 8/9/2017, True,,,
A2, 31/10/2017, 31/10/2017, True,,,
A2, 20/11/2017, 20/11/2017, True,,,
A2, 7/12/2017, 7/12/2017, True,,,
A2, 10/1/2018, 10/1/2018, True,,,
A2, 26/1/2018, 26/1/2018, True,,,
A2, 13/2/2018, 13/2/2018, True,,,
A2, 16/3/2018, 16/3/2018, True,,,
A2, 11/4/2018, 11/4/2018, True,,,
A2, 27/4/2018, 27/4/2018, True,,,
A2, 1/6/2018, 1/6/2018, True,,,
B2, 24/8/2017, 24/8/2017, True,,,
B2, 11/9/2017, 11/9/2017, True,,,
B2, 27/9/2017, 27/9/2017, True,,,
B2, 1/11/2017, 1/11/2017, True,,,
